date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:05	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2023%20May%202022%2015:15:04%20GMT	https://jaceklaskowski.gitbooks.io/robots.txt		(from )
11:15:05	228130/228130	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:05%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/index.html	(from )
11:15:05	52701/52701	---MCZ	200	added ('OK')	text/css	date:Sun,%2023%20Jan%202022%2003:20:16%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/gitbook/style.css	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/gitbook/style.css	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:06	31446/31446	---MCZ	200	added ('OK')	text/css	date:Sun,%2022%20May%202022%2011:53:12%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/gitbook/gitbook-plugin-highlight/website.css	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/gitbook/gitbook-plugin-highlight/website.css	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:06	974/974	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20Apr%202022%2013:18:03%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/gitbook/gitbook-plugin-search/search.css	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/gitbook/gitbook-plugin-search/search.css	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:06	8596/8596	---MCZ	200	added ('OK')	text/css	date:Sun,%2022%20May%202022%2011:53:12%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/gitbook/gitbook-plugin-fontsettings/website.css	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/gitbook/gitbook-plugin-fontsettings/website.css	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:06	4817/4817	---MC-	200	added ('OK')	image/png	date:Mon,%2023%20May%202022%2010:42:28%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/gitbook/images/apple-touch-icon-precomposed-152.png	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/gitbook/images/apple-touch-icon-precomposed-152.png	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:07	249583/249583	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2011:53:31%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:07	227951/227951	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:07%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-dataset-rdd.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-dataset-rdd.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:08	229598/229598	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:08%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-dataset-vs-sql.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-dataset-vs-sql.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:09	270667/270667	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:09%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/demo/demo-connecting-spark-sql-to-hive-metastore.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/demo/demo-connecting-spark-sql-to-hive-metastore.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:09	242301/242301	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:09%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/index.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:10	245369/245369	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:10%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/demo/demo-hive-partitioned-parquet-table-partition-pruning.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/demo/demo-hive-partitioned-parquet-table-partition-pruning.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:10	238867/238867	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2013:27:10%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/configuration-properties.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/configuration-properties.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:11	247842/247842	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2003:28:22%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-hive-metastore.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-hive-metastore.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:11	226545/226545	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:11%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-DataSinks.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-DataSinks.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:12	233622/233622	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:12%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveFileFormat.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveFileFormat.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:13	238445/238445	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:13%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveClient.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveClient.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
